,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Norway,768.8,665.8,817.9,"1,065.10","1,106.10","1,164.70","1,240.10","1,192.10","1,304.70","1,500.80","1,364.70","2,009.70","1,719.50","1,645.80","1,429.20","1,190.70","1,577.70","1,140.60",231.2
Oman,,,,,,,,,,129.5,59.2,127.8,80.9,97.2,124.9,196.6,199.8,159.7,4.4
Other Africa,"2,003.90","2,057.50","2,233.20","1,501.60","1,803.70","1,357.70","1,372.80","1,192.50",992.2,"1,027.80","1,238.80","1,410.30","1,304.90","1,001.00","1,068.70","1,331.90","1,071.60",852.2,380
Other Asia,954.3,944.3,"1,111.30","1,422.00",675.7,"1,196.30","1,011.70",971.7,"1,234.30",989.4,996.2,866.6,"1,445.90","1,210.00","1,060.60","1,127.70","1,069.20","1,328.80",230.9
Other Central & South America,"1,709.00","2,111.70","1,121.20","1,471.50",972.2,"1,262.80",747.5,"1,177.70","1,178.30",896.3,"1,034.00","1,459.40","1,402.30","1,021.80","1,077.90","1,414.30","1,302.90","2,416.60",277.8
Other Eastern Europe,697.7,522,788.6,"3,366.20","3,772.50","4,881.40","3,011.70","2,018.00","2,580.10","2,363.70","2,195.80","2,014.10","1,723.10","2,121.50","2,045.10","2,604.20","2,481.00","3,476.60",337.1
Other Middle East,943.3,983.9,"1,278.50",886.8,"1,426.30","1,009.40","1,154.30","1,409.80","1,055.80",790.8,603.1,480.6,607.7,464.1,447.1,429.6,477.9,330.5,56.5
Other Southern Africa,225.6,249.1,163.4,179.7,218.4,111.4,163.2,92.3,15.5,525.6,241.7,290.9,326.7,161.2,163.2,448,248.3,277.6,89.5
Other Western Europe,695.1,733.1,780.4,745.9,770.4,"1,421.00",833.6,867.1,734,651.1,754,806.9,613.4,859.5,"1,093.30",982.3,525.5,890.5,334.6
Pakistan,633.4,688,"1,176.20","1,373.50","1,438.90","1,099.20","1,108.00",813.7,628.2,909.6,802.8,650,867.8,622.8,678.7,673.9,596.3,795.8,510.4
Poland,"2,762.70","4,811.10","6,400.70","8,529.00","7,841.50","4,791.30","5,422.20","3,670.90","3,954.40","3,083.30","3,663.20","3,054.50","3,298.30","4,074.10","4,305.50","2,943.10","2,861.10","2,197.40",496.3
Portugal,582.1,434.4,631.9,763.9,488.4,729,712.8,645.3,"1,115.20",817.8,"1,157.70",819.2,"1,328.80","1,203.80","1,626.40","1,484.90","1,133.00","2,243.60",414.6
Qatar,,,,,,,,,,253.4,253.8,413.6,293.2,356.6,525.1,967.2,629.5,"1,001.70",221.4
Romania,,,,,,,"1,195.40","1,403.10","1,554.50","1,385.90","1,457.80","1,771.80","2,382.20","2,946.10","4,876.20","2,902.90","3,671.20","4,171.40",704
Russia,943.9,"1,957.90","3,216.80",951.6,"1,165.80","1,451.00",757.5,545.1,905.6,"1,291.40","1,122.50",957,"1,340.80",772.6,718.4,"1,138.70",825,881.2,153.2
Saudi Arabia,384.5,294.7,364.4,438.3,442.5,621.4,714,571.6,424.6,761.8,645.8,906.9,"1,052.00","1,151.90","1,095.90","1,569.80","1,249.70","1,845.80",260.6
Serbia,,,,,,,,,,118.3,245.4,122.4,69.7,222.2,269.4,151.5,99,31.5,59
Singapore,328.8,277.1,331.7,359.5,506.9,449.2,403.6,410.8,533.3,585.1,861.3,495.5,735.2,946.9,702.8,909.6,"1,033.60",951.5,105.1
