,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Other Middle East,80.6,66.9,83.2,77.8,97,93.2,91.6,115.1,97.4,55.8,45.5,40.4,55.3,43.5,48.2,53.7,50.9,50.2,5.3
Other Southern Africa,19,11.9,13.6,12.2,11.4,12.3,11.7,5.6,1.8,21.3,19.4,17,19.6,16.5,17.6,30.1,19.9,19.9,6.2
Other Western Europe,80.3,75.1,101.9,81.8,106.9,122.8,118.2,122.6,96.6,94.1,94.8,103.5,117.6,113.6,132.3,145.8,92,164.1,35.4
Pakistan,43,35.6,49.2,58.3,66.1,55.5,47.7,38.4,32.5,31.4,40.6,39.7,49,35.1,39.8,47.3,47.3,57.1,16.5
Poland,115.3,167.2,277.8,425.2,528.2,432.7,451.3,359.6,355.7,353.7,396.2,419.2,446.5,531.4,534.1,506.8,510.3,517.5,107.4
Portugal,97.8,97.5,97,113.6,120.8,144.1,133.8,136.7,172.4,165.6,153,138,191.3,223,279.9,257.1,215.8,353.7,82.2
Qatar,,,,,,,,,,24.6,31.7,43.6,32.8,41.8,51.4,60,59.9,109.3,23.4
Romania,,,,,,,101.1,107.8,121.9,127.9,109.8,158.6,170.5,237.7,277.6,320.9,313.9,309.4,72
Russia,143.2,160.1,193.4,133.2,159.6,165.1,125,85.7,119.1,154.4,155.3,147.2,164.8,99,92.6,153.3,121.9,118.7,25.8
Saudi Arabia,42.8,34.1,37.7,37,39.5,56.5,63.8,58.6,54.2,66.8,74.4,90.9,99.1,103.9,108.5,114.6,120.5,185.9,31.3
Serbia,,,,,,,,,,18.8,17.8,16.3,12.5,16.9,12.9,22,17.3,7.9,6.4
Singapore,57.5,52.6,57.2,49.9,70.9,63.4,77,64.7,89.2,88.9,106.7,91.5,120.6,148.6,124.5,155.8,121.8,159.5,10.2
South Africa,162.5,156.8,167.6,180.1,216.8,174.8,164.2,131.5,123.4,108.7,118.8,142.3,124.5,134.5,103.8,128.6,113.1,121.9,15.9
South Korea,67,88.6,114.6,119.1,119.4,128,109.5,58,84.8,108.1,130.7,154.8,164.6,181.9,160.3,164.4,137.1,265.9,52.4
Spain,444.4,526.6,691.6,709.7,933.5,967.5,895.3,"1,011.30",875.2,894.8,795.9,865.7,984.3,"1,153.20","1,281.70","1,224.20",1254.5,1212.3,173.8
Sweden,291.9,307.9,327.2,333.8,383.1,401.9,417.5,335.1,442.6,457.7,503.1,516.1,547.4,553.6,506,509.1,456.6,458.4,56.8
Switzerland,310.6,297.1,292.6,331.4,389.2,372.4,348.2,354.3,314.5,391.2,425,453.8,503.1,504.4,527,505.7,424.2,486,87.7
Taiwan,18.9,20.4,23.3,22.1,18.9,23.1,17.8,23.1,23.3,23.6,27,28.8,37.9,33.7,36.8,54.6,63.1,122.5,10.3
Thailand,21.4,26.3,29.6,27.3,29.7,36.5,22,39.4,30.1,35.9,38,41.9,35.5,43.3,46.3,59.3,54.4,121.3,17.6
Turkey,41.2,61,55.9,51.9,91.6,77.9,75.4,58.9,71.7,69.4,91.5,90.8,103,116.8,114.5,106.7,110,187.6,15.9
United Arab Emirates,60.6,58.3,73.2,61.8,89.1,91.5,123.7,121.4,107.2,118.2,133.3,161.3,152.1,181.3,185.4,201.7,208.8,313.8,47
USA,"2,446.30","2,233.10","2,406.40","2,276.80","2,536.90","2,333.60","1,907.90","1,839.10","1,765.60","1,842.80","1,862.30","1,877.90","1,982.20","2,142.30","2,321.70","2,617.30",2631.2,3087.8,497.1
Grand Total,"11,603.40","11,695.80","13,389.30","13,892.60","15,592.60","15,339.80","14,753.00","14,211.30","14,705.50","15,289.50","15,460.90","16,810.80","17,404.20","18,581.10","19,059.50","19,827.80",19090.2,21713.5,3696.3
