LONDON,Visits (000s),,,,,,,,,,,,,,,,,,,Nights (000s),,,,,,,,,,,,,,,,,,,Spend (£m),,,,,,,,,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,,,
Country of origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020p
China,39.5,42.6,61.0,58.1,64.8,79.2,60.1,46.7,55.4,80.6,104.1,96.4,98.9,167.1,164.9,219.4,278.5,574.3,57.8,289.8,305.8,598.7,585.7,488.1,540.9,518.5,393.8,780.5,576.7,"1,005.1",813.4,860.4,"1,461.0","1,793.1","2,270.0","2,555.3","5,103.1",541.3,32.4,28.4,41.1,53.1,49.0,61.3,67.6,55.7,87.7,88.9,142.1,186.9,148.7,310.4,218.5,330.4,382.4,862.7,85.2,84.0,76.0,124.0,109.0,123.0,135.0,95.0,122.0,148.0,137.0,184.0,190.0,162.0,221.0,207.0,267.0,308.0,286.0,85.2
Czech Republic,63.6,79.7,126.1,106.9,112.0,134.1,169.7,144.8,109.7,108.7,144.6,136.5,134.7,166.3,155.6,148.6,163.4,178.2,38.5,647.6,526.5,624.3,598.3,974.2,842.6,761.6,805.9,545.5,650.6,723.7,865.1,744.7,"1,375.3","1,033.2",634.2,659.3,861.0,236.4,18.1,34.1,31.0,38.3,37.5,39.7,44.3,50.9,40.5,40.4,47.3,52.1,46.8,57.6,72.3,52.9,53.2,88.0,20.5,49.0,73.0,110.0,91.0,86.0,88.0,118.0,157.0,122.0,121.0,174.0,161.0,153.0,152.0,135.0,115.0,75.0,91.0,20.5
Denmark,191.4,209.8,238.1,286.7,291.3,312.3,298.4,332.2,273.8,340.2,325.7,378.5,339.4,422.7,412.8,407.2,451.7,355.0,43.0,888.1,911.0,984.4,"1,417.7","1,128.1","1,264.6","1,080.3","1,247.6","1,055.6","1,416.3","1,427.4","1,438.5","1,159.5","1,602.7","1,528.5","1,529.7","1,701.1","1,309.8",186.7,73.2,83.8,101.6,114.7,117.8,143.5,137.2,165.9,142.3,159.9,183.0,196.7,162.6,195.1,217.0,217.4,233.0,203.0,26.4,314.0,335.0,359.0,400.0,412.0,391.0,406.0,535.0,469.0,419.0,389.0,445.0,376.0,378.0,350.0,278.0,211.0,150.0,26.4
Egypt,19.7,25.0,21.6,19.5,33.6,21.8,31.6,30.5,31.0,29.9,35.0,39.1,39.9,38.1,34.1,29.4,23.9,38.2,7.9,264.6,215.9,224.2,282.7,334.8,194.6,326.7,302.2,327.2,229.3,318.0,316.7,333.1,413.9,419.8,190.4,193.1,253.8,89.3,27.0,26.9,26.4,25.1,32.5,66.9,37.1,48.2,48.1,46.5,45.9,59.1,113.2,63.2,80.7,64.5,30.8,61.0,15.9,64.0,67.0,62.0,57.0,74.0,53.0,58.0,80.0,79.0,66.0,84.0,85.0,82.0,62.0,55.0,35.0,24.0,30.0,15.9
Finland,66.3,59.3,78.1,97.5,102.6,99.4,94.9,94.4,103.6,124.5,130.7,134.2,159.4,160.7,161.5,161.9,122.4,113.3,31.1,489.6,300.8,395.9,415.2,520.4,403.7,411.1,350.4,439.3,611.6,598.4,774.7,817.5,737.4,630.0,647.0,443.2,404.1,120.7,27.3,26.6,35.1,37.3,42.7,37.9,46.8,48.6,52.3,73.3,73.7,72.7,77.6,86.5,78.4,75.1,61.0,57.8,13.9,127.0,110.0,127.0,161.0,131.0,148.0,130.0,306.0,336.0,313.0,311.0,250.0,293.0,254.0,242.0,245.0,187.0,156.0,13.9
France,"1,102.9","1,190.9","1,258.1","1,367.3","1,447.5","1,342.4","1,409.9","1,528.2","1,624.3","1,600.5","1,681.3","1,904.0","2,010.0","2,071.4","1,993.4","2,014.7",1834.6,1837.1,375.1,"4,475.6","5,136.4","5,810.0","5,887.2","7,323.0","6,524.1","6,580.5","6,395.8","6,639.5","6,603.6","7,130.3","7,596.6","8,688.8","8,875.6","8,371.0","8,743.9","8,074.1","6,871.0","1,240.9",296.0,332.4,322.4,356.5,431.0,406.4,444.9,472.3,543.7,530.2,744.9,689.1,789.0,762.8,711.5,753.8,703.5,761.6,147.5,1627.0,1675.0,1990.0,2190.0,2156.0,1771.0,1484.0,1414.0,1520.0,1362.0,1387.0,1589.0,1549.0,1612.0,1546.0,1390.0,951.0,990.0,147.5
Germany,889.4,891.7,"1,172.9","1,280.9","1,274.7","1,196.6","1,052.4","1,068.9","1,257.4","1,214.5","1,199.1","1,295.3","1,341.1","1,401.2","1,472.8","1,462.3",1452.4,1507.1,246.2,"3,954.6","4,475.3","4,886.7","5,757.9","5,607.8","4,732.0","4,665.0","4,216.9","5,736.0","5,691.4","5,060.7","5,705.2","6,306.5","6,021.9","6,333.0","5,705.9","5,506.5","5,697.0",862.2,275.3,290.5,337.5,393.9,405.4,391.9,418.2,353.5,465.0,480.4,483.3,540.0,621.9,549.3,618.5,606.5,626.9,707.3,101.4,1167.0,1061.0,1266.0,1375.0,1321.0,1245.0,1059.0,1519.0,1572.0,1362.0,1264.0,1480.0,1398.0,1457.0,1553.0,1218.0,855.0,809.0,101.4
Greece,97.8,96.6,109.8,111.8,102.5,99.6,124.4,116.9,104.5,134.4,92.3,110.8,155.4,147.8,146.6,133.4,103.6,162.1,37.5,694.8,648.1,767.2,685.6,619.7,498.1,946.2,609.2,735.4,893.2,618.9,780.4,"1,084.4","1,289.5",748.0,853.0,457.0,804.2,214.7,76.7,81.5,74.9,71.0,73.7,109.2,104.7,88.3,81.6,98.0,65.6,96.5,90.5,115.4,90.8,90.6,50.2,121.6,24.0,164.0,154.0,179.0,155.0,156.0,110.0,144.0,160.0,173.0,163.0,113.0,164.0,193.0,159.0,150.0,114.0,67.0,98.0,24.0
Hong Kong,96.1,78.8,82.9,88.9,96.6,85.1,84.5,86.7,84.4,97.9,92.7,99.5,107.5,134.4,145.4,154.8,181.0,268.4,27.8,600.7,488.8,475.6,482.0,502.6,512.6,553.2,566.1,565.0,766.2,618.2,688.8,844.1,977.5,"1,142.1","1,325.2","5,027.1","1,667.8",171.3,74.6,60.4,63.8,76.0,64.3,74.3,76.9,67.2,84.7,104.0,90.9,137.5,137.7,162.8,155.0,188.1,298.2,348.1,28.7,288.0,226.0,211.0,228.0,215.0,200.0,170.0,249.0,235.0,210.0,213.0,219.0,233.0,223.0,232.0,251.0,239.0,266.0,28.7
Hungary,43.7,45.1,83.5,120.9,119.5,149.1,108.2,102.4,75.6,80.7,104.9,88.2,115.6,95.2,116.8,153.5,189.2,139.7,23.4,243.4,"1,022.3",757.5,"1,162.0",981.8,786.4,660.8,875.3,367.0,920.1,739.8,735.0,822.2,452.5,625.7,924.6,"1,220.2",564.1,78.8,12.5,20.8,30.1,55.1,38.2,62.6,32.4,51.4,22.9,47.5,43.0,36.2,31.3,26.2,41.0,58.3,53.4,62.7,6.0,50.0,48.0,69.0,95.0,99.0,88.0,77.0,108.0,90.0,94.0,119.0,102.0,116.0,83.0,92.0,108.0,80.0,70.0,6.0
Iceland,20.1,23.7,49.8,43.0,46.7,46.1,32.3,23.7,19.9,24.5,25.4,29.0,28.5,26.1,37.2,70.5,46.9,26.5,5.5,298.0,90.9,186.8,149.0,144.4,170.5,79.4,108.0,77.8,105.3,95.8,116.2,101.9,109.4,186.4,282.4,152.0,87.5,15.9,14.5,14.6,23.9,19.1,32.3,27.7,17.0,15.4,9.4,14.3,14.9,12.6,12.9,16.2,25.3,54.8,30.4,16.5,1.8,32.0,42.0,61.0,74.0,79.0,63.0,34.0,42.0,34.0,31.0,34.0,28.0,27.0,31.0,40.0,44.0,28.0,20.0,1.8
India,135.2,130.4,160.3,166.0,229.6,219.7,241.6,177.9,235.9,235.3,231.5,243.6,252.3,275.7,273.4,382.4,367.1,444.6,48.7,"2,140.0","2,063.0","2,566.6","2,721.2","3,321.5","3,918.1","2,874.7","2,662.4","4,021.0","3,579.1","3,436.8","3,941.5","3,508.6","3,769.3","4,111.6","4,863.0","5,397.8","5,056.8",889.4,81.2,77.7,106.5,107.1,151.5,157.9,148.8,133.0,213.4,166.8,176.7,224.5,240.2,203.4,258.0,282.5,313.8,358.1,51.4,370.0,343.0,398.0,422.0,535.0,447.0,340.0,441.0,486.0,359.0,387.0,419.0,414.0,401.0,388.0,494.0,426.0,426.0,51.4
Indonesia,,,,,,,,,,19.2,18.5,17.9,22.1,24.8,32.6,36.4,37.1,39.1,3.6,,,,,,,,,,183.5,117.0,125.3,126.9,190.1,196.2,300.7,231.0,250.0,22.6,,,,,,,,,,18.7,19.2,33.5,22.9,30.6,26.4,34.7,39.6,55.9,3.1,,,,,,,,,,34.0,26.0,27.0,32.0,32.0,36.0,54.0,41.0,37.0,3.1
Irish Republic,628.9,623.6,682.8,726.5,718.4,732.3,736.1,690.4,656.6,620.3,595.9,610.6,620.3,793.2,806.4,826.5,649.5,748.5,197.9,"2,436.7","2,301.1","2,702.1","2,880.7","2,663.9","2,549.3","2,600.5","2,120.9","2,434.3","2,686.1","2,562.9","2,378.5","2,419.1","2,900.2","3,049.8","2,983.5","2,129.5","2,410.3",849.7,201.5,173.2,218.0,250.1,233.2,243.7,244.8,238.0,256.6,230.2,225.3,228.6,251.3,285.8,371.0,320.1,213.1,261.9,91.7,494.0,551.0,589.0,683.0,687.0,664.0,693.0,773.0,651.0,573.0,563.0,545.0,511.0,749.0,758.0,550.0,355.0,376.0,91.7
Israel,152.7,122.7,127.4,106.9,138.4,102.7,125.7,124.9,122.8,120.5,108.2,141.0,147.6,164.7,154.4,202.1,231.4,226.3,38.1,911.7,782.0,859.6,807.9,964.3,581.8,740.1,727.6,779.5,745.2,634.5,762.6,936.4,"1,000.2",866.3,"1,327.6","1,441.0","1,298.6",164.6,79.5,57.5,54.8,55.8,71.7,71.4,64.3,92.4,72.3,68.0,70.5,89.0,88.5,224.6,105.3,181.1,184.0,205.8,54.7,290.0,245.0,229.0,221.0,233.0,177.0,153.0,240.0,226.0,195.0,150.0,198.0,193.0,183.0,169.0,209.0,161.0,169.0,54.7
Italy,541.6,601.4,765.4,643.7,851.2,837.7,981.0,747.6,932.2,"1,009.3",962.8,"1,072.2","1,185.7","1,165.1","1,251.5","1,052.0",989.9,1391.7,175.2,"3,400.5","3,957.1","5,234.6","3,490.9","5,122.6","5,028.6","5,346.8","4,471.7","5,392.1","5,289.0","5,336.9","5,951.9","8,484.1","6,536.5","6,682.2","5,696.3","4,084.8","7,254.2","1,725.4",199.0,292.9,292.8,281.2,380.0,360.0,475.8,360.5,437.1,544.0,453.2,504.4,637.9,535.6,563.1,477.8,420.8,732.5,77.2,565.0,561.0,658.0,600.0,716.0,718.0,792.0,985.0,1062.0,978.0,936.0,1025.0,952.0,934.0,937.0,673.0,443.0,385.0,77.2
